Date,DateTime,FunctionName,Value,Time,shift_wise
03-04-2023,14,Maintenance,0,14,1
03-04-2023,15,Maintenance,0,15,1
03-04-2023,16,Maintenance,0,16,1
03-04-2023,17,Maintenance,0,17,1
03-04-2023,18,Maintenance,0,18,1
03-04-2023,19,Maintenance,0,19,1
03-04-2023,20,Maintenance,0,20,1
03-04-2023,21,Maintenance,0,21,1
03-04-2023,22,Maintenance,0,22,1
03-04-2023,23,Maintenance,0,23,1
04-04-2023,24,Maintenance,0,0,1
04-04-2023,25,Maintenance,0,1,1
04-04-2023,26,Maintenance,0,2,1
04-04-2023,27,Maintenance,0,3,1
04-04-2023,28,Maintenance,0,4,1
04-04-2023,29,Maintenance,0,5,1
03-04-2023,6,Initiator Non Veg,0,6,1
03-04-2023,6,Initiator Non Veg,0,6,1
03-04-2023,7,Initiator Non Veg,0,7,1
03-04-2023,7,Initiator Non Veg,0,7,1
03-04-2023,8,Initiator Non Veg,0,8,1
03-04-2023,8,Initiator Non Veg,0,8,1
03-04-2023,9,Initiator Non Veg,0,9,1
03-04-2023,9,Initiator Non Veg,0,9,1
03-04-2023,10,Initiator Non Veg,0,10,1
03-04-2023,10,Initiator Non Veg,0,10,1
03-04-2023,11,Initiator Non Veg,0,11,1
03-04-2023,11,Initiator Non Veg,0,11,1
03-04-2023,12,Initiator Non Veg,0,12,1
03-04-2023,12,Initiator Non Veg,0,12,1
03-04-2023,13,Initiator Non Veg,1,13,1
03-04-2023,13,Initiator Non Veg,0,13,1
03-04-2023,14,Initiator Non Veg,1,14,1
